Designator,Val,Package,Mid X,Mid Y,Rotation,Side
R16,0402WGF1001TCE,R_0402_1005Metric,133.096000,-125.478000,270.000000,top
R17,0402WGF1001TCE,R_0402_1005Metric,134.874000,-125.476000,270.000000,top
R18,0402WGF1001TCE,R_0402_1005Metric,136.652000,-125.476000,270.000000,top
R19,0402WGF1001TCE,R_0402_1005Metric,138.430000,-125.474000,270.000000,top
R20,0402WGF1001TCE,R_0402_1005Metric,140.208000,-125.478000,270.000000,top
R21,0402WGF1001TCE,R_0402_1005Metric,141.986000,-125.478000,270.000000,top
R22,0402WGF1001TCE,R_0402_1005Metric,143.764000,-125.478000,270.000000,top
R23,0402WGF1001TCE,R_0402_1005Metric,145.542000,-125.474000,270.000000,top
R24,0402WGF1001TCE,R_0402_1005Metric,164.338000,-125.476000,270.000000,top
R25,0402WGF1001TCE,R_0402_1005Metric,166.116000,-125.476000,270.000000,top
R26,0402WGF1001TCE,R_0402_1005Metric,167.894000,-125.476000,270.000000,top
R27,0402WGF1001TCE,R_0402_1005Metric,169.672000,-125.474000,270.000000,top
R28,0402WGF1001TCE,R_0402_1005Metric,171.450000,-125.476000,270.000000,top
R29,0402WGF1001TCE,R_0402_1005Metric,173.228000,-125.476000,270.000000,top
R30,0402WGF1001TCE,R_0402_1005Metric,175.006000,-125.478000,270.000000,top
R31,0402WGF1001TCE,R_0402_1005Metric,176.784000,-125.474000,270.000000,top
R32,0402WGF1001TCE,R_0402_1005Metric,178.562000,-125.476000,270.000000,top
R33,0402WGF1001TCE,R_0402_1005Metric,180.340000,-125.474000,270.000000,top
R34,0402WGF1001TCE,R_0402_1005Metric,182.118000,-125.478000,270.000000,top
R35,0402WGF1001TCE,R_0402_1005Metric,183.896000,-125.474000,270.000000,top
R36,0402WGF1001TCE,R_0402_1005Metric,185.674000,-125.474000,270.000000,top
R37,0402WGF1001TCE,R_0402_1005Metric,187.452000,-125.474000,270.000000,top
R38,0402WGF1001TCE,R_0402_1005Metric,189.230000,-125.476000,270.000000,top
R39,0402WGF1001TCE,R_0402_1005Metric,187.706000,-110.998000,180.000000,top
U1,CD4514BM96,SOIC-24W_7.5x15.4mm_P1.27mm,111.728000,-121.732000,0.000000,top
U2,CD4515BM96,SOIC-24W_7.5x15.4mm_P1.27mm,155.018000,-121.793000,0.000000,top
