Reference, Quantity, Value, Footprint, Datasheet, Description, JLCPCB, JCLC, Color, C
C1 C2 C3 C4 C6 ,5,"CL05A106MQ5NUNC","Capacitor_SMD:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191215_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf","X5R 6.3V ±20% 10uF 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C15525","C15525","","10µf"
C5 ,1,"SMD-ECAP-5x5.8","Capacitor_SMD:CP_Elec_5x5.8","https://datasheet.lcsc.com/lcsc/1810010225_Lelon-VZS101M1ATR-0506_C140924.pdf","- - 5mm 100uF 10V -45℃~+105℃ ±20% 5.8mm 2000hrs 105℃ SMD,5x5.8mm Aluminum Electrolytic Capacitors - SMD ROHS","C140924","C140924","","100µf"
D1 D2 D3 D4 D5 D6 D7 D8 ,8,"19-217/GHC-YR1S2/3T","LED_SMD:LED_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf","","C72043","C72043","GRN",""
D9 D10 D11 D12 ,4,"19-217/BHC-ZL1M2RY/3T","LED_SMD:LED_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-BHC-ZL1M2RY-3T_C72041.pdf","","C72041","C72041","BLU",""
J1 ,1,"Conn_01x32","Connector_PinHeader_2.54mm:PinHeader_1x32_P2.54mm_Vertical","~"
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 ,12,"0402WGF1001TCE","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811132311_UNI-ROYAL-Uniroyal-Elec-0402WGF1001TCE_C11702.pdf","±1% 1/16W ±100ppm/℃ 1kΩ 0402 Chip Resistor - Surface Mount ROHS","C11702","C11702","",""
U1 ,1,"74HC08D,653","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://datasheet.lcsc.com/lcsc/2006241032_Nexperia-74HC08D,653_C5593.pdf","AND Gate - SOIC-14_150mil 74 Series ROHS","C5593","","",""
U2 ,1,"74HC574PW,118","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://datasheet.lcsc.com/lcsc/1809291811_Nexperia-74HC574PW,118_C93762.pdf","D Type 74HC Tri-State,Non-Inverted TSSOP-20 Flip Flops ROHS","C93762","C93762","",""
U3 U4 U5 ,3,"74HC245D,653","Package_SO:SO-20_12.8x7.5mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1811131630_Nexperia-74HC245D,653_C5625.pdf","Transceiver, Non-Inverting 3-State Outputs SOIC-20_300mil 74 Series ROHS","C5625","C5625","",""
