Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,0402B102K500NT,C_0402_1005Metric,215.392000,-83.058000,90.000000,top
C2,CS1V220M-CRE54,CP_Elec_6.3x5.4,217.424000,-87.884000,90.000000,top
C5,CS1A471M-CRE77,CP_Elec_6.3x7.7,204.216000,-88.138000,90.000000,top
D12,19-217/BHC-ZL1M2RY/3T,LED_0603_1608Metric,216.408000,-76.708000,270.000000,top
R1,0402WGF1002TCE,R_0402_1005Metric,201.930000,-92.710000,0.000000,top
R12,0402WGF1001TCE,R_0402_1005Metric,217.900000,-76.740000,270.000000,top
U1,LMC555CMX/NOPB,SOIC-8_3.9x4.9mm_P1.27mm,210.820000,-88.138000,0,top
